Please hold the phone in your right hand and type with your left index finger
i	1552590	(576, 122)	[(54, 486, 1134), (72, 486, 1098), (90, 486, 954), (54, 486, 846), (54, 504, 900), (216, 540, 900), (162, 540, 810), (162, 558, 882), (180, 540, 954), (126, 522, 882), (108, 504, 864), (180, 540, 900), (180, 522, 900), (144, 504, 900), (144, 522, 900), (126, 504, 900), (162, 540, 900), (162, 522, 918), (144, 522, 882), (162, 522, 846), (126, 522, 972), (162, 504, 1008), (162, 504, 900), (126, 504, 846), (162, 558, 828)]	(10469, 13105, 12613, 13577, 11691, 10122, 7729, 8456, 6045, 7143, 7528, 7510, 5074, 6693, 7389, 9259, 13623, 20645, 21254, 20621, 18571, 14303, 12311, 1939)
 	1553109	(815, 234)	[(162, 522, 846), (126, 522, 972), (162, 504, 1008), (162, 504, 900), (126, 504, 846), (162, 558, 828), (126, 558, 864), (72, 486, 990), (108, 468, 972), (108, 450, 900), (90, 468, 900), (72, 486, 936), (36, 468, 954), (54, 468, 954), (54, 468, 954), (54, 468, 900), (90, 486, 918), (72, 468, 936), (54, 450, 1044), (108, 450, 936), (36, 432, 990), (18, 432, 1026), (54, 432, 972), (72, 432, 972), (72, 468, 918)]	(10491, 13105, 12589, 13485, 11702, 10045, 7699, 8338, 5839, 7015, 7551, 7518, 5060, 6688, 7377, 9178, 13559, 20640, 21092, 20585, 18506, 14284, 12298, 1948)
w	1553609	(570, 418)	[(54, 450, 1044), (108, 450, 936), (36, 432, 990), (18, 432, 1026), (54, 432, 972), (72, 432, 972), (72, 468, 918), (-72, 432, 936), (54, 450, 954), (36, 450, 990), (54, 432, 954), (90, 468, 918), (90, 468, 918), (54, 450, 936), (36, 450, 954), (54, 450, 936), (54, 468, 936), (54, 450, 936), (18, 432, 918), (90, 450, 864), (72, 450, 936), (54, 468, 990), (36, 450, 1062), (36, 414, 990), (54, 468, 792)]	(10534, 13120, 12544, 13442, 11689, 10063, 7693, 8346, 5971, 7158, 7542, 7441, 5054, 6715, 7398, 9178, 13606, 20622, 21091, 20531, 18505, 14284, 12292, 1936)
i	1553923	(580, 142)	[(36, 450, 990), (54, 432, 954), (90, 468, 918), (90, 468, 918), (54, 450, 936), (36, 450, 954), (54, 450, 936), (54, 468, 936), (54, 450, 936), (18, 432, 918), (90, 450, 864), (72, 450, 936), (54, 468, 990), (36, 450, 1062), (36, 414, 990), (54, 468, 792), (0, 432, 1098), (252, 576, 774), (252, 612, 576), (198, 612, 666), (180, 594, 900), (162, 576, 882), (198, 576, 828), (288, 612, 774), (234, 594, 792)]	(10440, 13020, 12508, 13438, 11678, 10107, 7592, 8505, 5825, 7145, 7325, 7262, 5013, 6700, 7392, 9216, 13622, 20657, 21343, 20566, 18604, 14260, 12309, 1932)
l	1554229	(567, 120)	[(18, 432, 918), (90, 450, 864), (72, 450, 936), (54, 468, 990), (36, 450, 1062), (36, 414, 990), (54, 468, 792), (0, 432, 1098), (252, 576, 774), (252, 612, 576), (198, 612, 666), (180, 594, 900), (162, 576, 882), (198, 576, 828), (288, 612, 774), (234, 594, 792), (234, 594, 828), (216, 576, 846), (198, 576, 864), (198, 576, 828), (234, 594, 756), (198, 576, 882), (198, 594, 900), (198, 594, 846), (216, 576, 864)]	(10453, 13099, 12594, 13531, 11695, 10062, 7686, 8725, 6045, 7120, 7535, 7345, 5052, 6728, 7359, 9250, 13660, 20697, 21452, 20640, 18710, 14262, 12305, 1936)
l	1556294	(678, 56)	[(216, 576, 846), (216, 576, 846), (216, 576, 864), (198, 576, 864), (198, 576, 864), (216, 576, 864), (216, 576, 864), (216, 576, 846), (216, 558, 864), (180, 558, 846), (198, 576, 846), (216, 576, 846), (216, 576, 864), (198, 558, 882), (198, 576, 846), (216, 576, 846), (198, 576, 864), (180, 576, 846), (216, 576, 864), (216, 576, 828), (216, 558, 774), (198, 576, 954), (198, 558, 918), (198, 522, 828), (270, 576, 810)]	(10483, 13089, 12553, 13513, 11677, 10082, 7763, 8692, 5863, 7135, 7630, 7456, 4936, 6720, 7379, 9333, 13637, 20691, 21437, 20672, 18686, 14272, 12286, 1935)
 	1557812	(845, 212)	[(162, 522, 882), (126, 504, 936), (126, 486, 864), (144, 504, 954), (162, 522, 900), (162, 522, 882), (162, 504, 900), (126, 504, 900), (108, 486, 900), (144, 468, 936), (126, 468, 954), (126, 468, 972), (180, 486, 882), (162, 486, 918), (144, 486, 936), (126, 486, 900), (90, 468, 936), (108, 486, 918), (108, 468, 954), (126, 468, 918), (144, 468, 918), (144, 468, 936), (72, 468, 918), (72, 450, 954), (108, 486, 936)]	(9566, 12303, 11665, 12690, 11641, 10016, 8534, 7750, 5885, 7108, 7905, 7590, 4980, 7138, 7420, 9750, 13735, 20461, 19878, 19439, 18120, 13985, 12262, 1939)
m	1558213	(758, 91)	[(162, 486, 918), (144, 486, 936), (126, 486, 900), (90, 468, 936), (108, 486, 918), (108, 468, 954), (126, 468, 918), (144, 468, 918), (144, 468, 936), (72, 468, 918), (72, 450, 954), (108, 486, 936), (162, 504, 900), (144, 486, 900), (144, 504, 900), (144, 504, 918), (144, 486, 918), (180, 504, 954), (144, 522, 738), (144, 504, 954), (198, 522, 918), (180, 486, 882), (180, 504, 954), (180, 486, 882), (180, 522, 882)]	(9566, 12392, 11849, 12960, 11648, 10042, 8576, 7939, 5764, 7058, 7914, 7571, 4996, 7051, 7414, 9769, 13727, 20479, 20110, 19695, 18313, 14065, 12274, 1937)
a	1558732	(664, 425)	[(144, 504, 954), (198, 522, 918), (180, 486, 882), (180, 504, 954), (180, 486, 882), (180, 522, 882), (180, 504, 882), (162, 468, 936), (54, 432, 972), (90, 450, 936), (108, 450, 972), (162, 486, 900), (144, 486, 900), (108, 468, 954), (90, 468, 954), (108, 486, 918), (162, 486, 936), (126, 468, 900), (108, 468, 954), (72, 468, 900), (162, 486, 936), (90, 468, 954), (108, 450, 972), (108, 468, 954), (126, 468, 900)]	(9565, 12406, 11887, 12984, 11659, 10125, 8673, 7682, 5775, 7137, 7874, 7585, 4979, 7108, 7447, 9778, 13833, 20548, 20258, 19932, 18454, 14098, 12274, 1944)
k	1559404	(670, 118)	[(108, 486, 1026), (270, 576, 810), (288, 594, 774), (252, 576, 756), (252, 558, 810), (198, 540, 882), (216, 540, 918), (180, 540, 900), (198, 540, 864), (216, 558, 882), (216, 558, 846), (234, 558, 846), (198, 540, 864), (162, 540, 900), (180, 522, 882), (216, 540, 882), (216, 558, 864), (180, 540, 792), (198, 558, 900), (162, 522, 918), (162, 522, 972), (180, 540, 900), (234, 576, 792), (234, 558, 864), (198, 540, 882)]	(9530, 12368, 11875, 13093, 11640, 10063, 8631, 7689, 5858, 7099, 7760, 7560, 4961, 7108, 7403, 9668, 13805, 20507, 20222, 19874, 18372, 14044, 12273, 1944)
