Please hold the phone in your right hand and type with you right thumb
i	2219709	(583, 125)	[(-54, 774, 702), (-126, 792, 666), (-234, 864, 684), (-216, 882, 738), (-162, 810, 882), (-90, 738, 864), (-36, 738, 828), (-36, 738, 792), (18, 702, 648), (36, 720, 504), (54, 738, 486), (90, 828, 540), (90, 918, 594), (-36, 918, 666), (-306, 864, 846), (-234, 792, 828), (-90, 756, 738), (-54, 774, 666), (-54, 774, 594), (-54, 828, 558), (0, 846, 576), (72, 900, 558), (72, 918, 630), (-36, 900, 702), (-90, 846, 612)]	(9466, 11252, 10075, 10241, 11707, 11828, 5173, 9035, 4878, 7068, 6277, 8424, 5025, 9577, 7407, 7689, 11503, 19944, 16075, 15759, 15411, 13172, 11998, 2094)
 	2220170	(810, 208)	[(-54, 774, 666), (-54, 774, 594), (-54, 828, 558), (0, 846, 576), (72, 900, 558), (72, 918, 630), (-36, 900, 702), (-90, 846, 612), (-36, 846, 594), (18, 864, 612), (-18, 846, 648), (-54, 846, 684), (-126, 828, 702), (-72, 828, 684), (-54, 846, 702), (-54, 828, 630), (-72, 828, 630), (-72, 828, 666), (-72, 846, 666), (-72, 846, 612), (-36, 864, 612), (-54, 846, 648), (-54, 828, 630), (-72, 810, 666), (-90, 828, 612)]	(9485, 11303, 10067, 10228, 11740, 12158, 5057, 8549, 4722, 7047, 6213, 8342, 4972, 9632, 7394, 7489, 11483, 19944, 16117, 15785, 15420, 13170, 11996, 2109)
k	2220732	(643, 86)	[(-54, 846, 648), (-54, 828, 630), (-72, 810, 666), (-90, 828, 612), (-54, 828, 630), (-18, 846, 666), (18, 846, 666), (-54, 828, 684), (-108, 828, 684), (0, 846, 666), (-54, 828, 684), (-36, 846, 612), (-36, 846, 630), (-54, 846, 630), (-54, 846, 648), (-54, 846, 630), (-36, 846, 648), (-36, 846, 684), (-72, 828, 666), (-36, 846, 648), (-54, 846, 630), (-54, 846, 612), (-72, 810, 594), (-108, 828, 648), (-54, 828, 684)]	(9472, 11327, 10087, 10230, 11693, 11808, 5120, 9647, 4874, 7079, 6240, 8741, 5124, 9680, 7430, 7794, 11550, 19946, 16021, 15729, 15419, 13175, 11997, 2108)
n	2221128	(729, 160)	[(-54, 846, 648), (-54, 846, 630), (-36, 846, 648), (-36, 846, 684), (-72, 828, 666), (-36, 846, 648), (-54, 846, 630), (-54, 846, 612), (-72, 810, 594), (-108, 828, 648), (-54, 828, 684), (-54, 828, 702), (-54, 846, 666), (-90, 828, 666), (-54, 828, 648), (-36, 846, 666), (-54, 828, 684), (-36, 846, 630), (-54, 846, 666), (-54, 828, 666), (-18, 846, 630), (-36, 828, 630), (-54, 846, 612), (-54, 810, 648), (-72, 828, 648)]	(9468, 11319, 10071, 10226, 11686, 11776, 5074, 9588, 4862, 7044, 6233, 8747, 5144, 9718, 7436, 7813, 11562, 19941, 15954, 15720, 15411, 13168, 12002, 2103)
o	2221540	(579, 83)	[(-54, 828, 648), (-36, 846, 666), (-54, 828, 684), (-36, 846, 630), (-54, 846, 666), (-54, 828, 666), (-18, 846, 630), (-36, 828, 630), (-54, 846, 612), (-54, 810, 648), (-72, 828, 648), (-36, 828, 666), (-36, 828, 702), (-54, 828, 720), (-72, 828, 684), (-90, 828, 666), (-36, 846, 666), (-36, 846, 648), (-54, 846, 630), (-54, 846, 666), (-54, 846, 666), (-72, 828, 648), (-72, 828, 630), (-36, 846, 594), (-72, 846, 666)]	(9470, 11355, 10122, 10260, 11669, 11561, 5058, 10173, 4906, 7055, 6239, 8888, 5177, 9646, 7434, 7947, 11578, 19949, 15928, 15724, 15419, 13167, 11997, 2102)
w	2222200	(573, 418)	[(-72, 828, 684), (-36, 828, 666), (-54, 882, 630), (36, 882, 558), (-72, 882, 540), (-54, 900, 630), (-54, 882, 594), (-54, 936, 486), (-54, 918, 486), (-72, 918, 522), (-72, 918, 540), (-108, 900, 540), (-72, 918, 594), (-90, 900, 576), (-72, 918, 576), (-90, 918, 576), (-108, 918, 558), (-90, 936, 576), (-126, 936, 558), (-108, 918, 540), (-90, 900, 576), (-90, 918, 540), (-90, 918, 504), (-108, 936, 468), (-144, 900, 468)]	(9474, 11263, 10286, 10629, 11667, 11574, 4788, 9358, 5394, 7029, 6188, 7872, 5076, 8497, 7354, 8204, 11425, 19974, 16235, 15937, 15589, 13188, 12006, 2098)
 	2222743	(796, 222)	[(-90, 918, 540), (-90, 918, 504), (-108, 936, 468), (-144, 900, 468), (-126, 918, 450), (-54, 936, 468), (-54, 936, 486), (-90, 936, 486), (-180, 918, 576), (-72, 918, 630), (-144, 882, 576), (-144, 882, 612), (-126, 882, 630), (-90, 882, 612), (-90, 882, 612), (-90, 900, 558), (-90, 882, 540), (-90, 882, 558), (-108, 864, 594), (-90, 882, 594), (-72, 882, 612), (-90, 882, 558), (-72, 882, 558), (-90, 864, 612), (-144, 882, 558)]	(9493, 11310, 10071, 10333, 11691, 11791, 4995, 8423, 4968, 7047, 6335, 7942, 5093, 8624, 7389, 8289, 11435, 19940, 16098, 15690, 15531, 13166, 11985, 2101)
t	2223257	(585, 264)	[(-108, 864, 594), (-90, 882, 594), (-72, 882, 612), (-90, 882, 558), (-72, 882, 558), (-90, 864, 612), (-144, 882, 558), (-90, 882, 612), (-36, 882, 612), (-36, 900, 630), (-72, 882, 630), (-126, 900, 612), (-36, 936, 432), (-72, 900, 540), (-54, 900, 594), (-36, 918, 558), (-54, 900, 558), (-90, 918, 594), (-108, 900, 540), (-72, 900, 576), (-90, 882, 594), (-90, 882, 576), (-90, 882, 504), (-72, 900, 540), (-72, 882, 576)]	(9477, 11308, 10179, 10430, 11669, 11558, 4960, 9373, 5131, 7051, 6309, 8024, 5090, 8692, 7383, 8185, 11444, 19947, 16065, 15747, 15578, 13183, 11994, 2105)
h	2223651	(670, 202)	[(-54, 900, 594), (-36, 918, 558), (-54, 900, 558), (-90, 918, 594), (-108, 900, 540), (-72, 900, 576), (-90, 882, 594), (-90, 882, 576), (-90, 882, 504), (-72, 900, 540), (-72, 882, 576), (-144, 882, 612), (-72, 900, 612), (-54, 900, 558), (-90, 882, 666), (-54, 882, 594), (-90, 882, 576), (-72, 882, 594), (-72, 864, 612), (-72, 864, 558), (-72, 882, 558), (-90, 882, 576), (-108, 846, 612), (-108, 864, 630), (-108, 864, 612)]	(9482, 11373, 10190, 10401, 11679, 11631, 5004, 9946, 5084, 7064, 6342, 8323, 5156, 8728, 7391, 8241, 11460, 19962, 16011, 15722, 15578, 13189, 12003, 2111)
e	2224211	(588, 365)	[(-90, 882, 576), (-108, 846, 612), (-108, 864, 630), (-108, 864, 612), (-72, 864, 612), (-72, 864, 648), (-72, 882, 630), (-90, 882, 648), (-90, 882, 612), (-72, 882, 594), (-90, 882, 594), (-72, 882, 558), (-108, 864, 594), (-108, 882, 558), (-90, 882, 594), (-90, 882, 594), (-108, 882, 594), (-108, 900, 594), (-108, 882, 630), (-108, 882, 594), (-108, 882, 576), (-72, 900, 540), (-90, 882, 522), (-72, 900, 522), (-72, 900, 558)]	(9484, 11396, 10343, 10610, 11692, 11700, 4976, 9360, 5349, 7049, 6339, 7903, 5094, 8720, 7377, 8175, 11442, 19966, 16085, 15874, 15594, 13188, 12000, 2109)
